,question
0,Tell me what the notes are for South Australia 
1,What is the current series where the new series began in June 2011?
2,What is the format for South Australia?
3,Name the background colour for the Australian Capital Territory
4,how many times is the fuel propulsion is cng?
5,what is the fuel propulsion where the fleet series (quantity) is 310-329 (20)?
6,who is the manufacturer for the order year 1998?
7,how many times is the model ge40lfr?
8,how many times is the fleet series (quantity) is 468-473 (6)?
9,what is the powertrain (engine/transmission) when the order year is 2000?
10,What if the description of a ch-47d chinook?
11,What is the max gross weight of the Robinson R-22?
12,What school did player number 6 come from?
13,What school did the player that has been in Toronto from 2012-present come from?
14,What school did the player that has been in Toronto from 2010-2012 go to?
15,What position did the player from Baylor play?
16,Who played in the Toronto Raptors from 1995-96?
17,Which number was Patrick O'Bryant?
18,What school did Patrick O'Bryant play for?
19,How many number does Fordham school have?
20,Which school was in Toronto in 2001-02?
21,Which school did the player that played 2004-05 attend?
22,Which position does Loren Woods play?
23,What number is the player that played 1998-2001
24,Which country is the player that went to Georgetown from?
25,Which school did Herb Williams go to?
26,When did the player from Hawaii play for Toronto?
27,During what period did Dell Curry play for Toronto?
28,What's the number of the player from Boise State?
29,What's Dell Curry nationality?
30,which player is from georgia
31,what school is rudy gay from
32,what nationality is the player who played from 1997-98
33,what position did the player from connecticut play
34,During which years was Marcus Banks in Toronto?
35,Which positions were in Toronto in 2004?
36,What nationality is the player Muggsy Bogues?
37,What years was the player Lonny Baxter in Toronto?
38,How many players were with the school or club team La Salle?
39,"When the scoring rank was 117, what was the best finish?"
40,"When the best finish was T69, how many people came in 2nd?"
41,How many wins were there when the money list rank was 183?
42,"When the money list rank was n/a, what was the scoring average?"
43,When did the Metrostars have their first Rookie of the Year winner?
44,What college did the Rookie of the Year from the Columbus Crew attend?
45,How many teams had a #1 draft pick that won the Rookie of the Year Award?
46,What position did the #10 draft pick play?
47,what's the years played with singles w-l of 3–2
48,what's the doubles w-l for player seol jae-min (none)
49,what's the singles w-l for kim doo-hwan
50,what's the total number of singles w-l with doubles w-l of 0–0 and total w-l of 3–1
51,what's the doubles w-l with years played value of 1 (1968)
52,what years are played for player  im chung-yang
53,What is the name of the 375 crest length?
54,What is year of construction of spitallamm?
55,What is the canton of grande dixence?
56,What is the name where lago di luzzone is?
57,What is the  guardian mātṛkā for the guardian whose consort is Svāhā?
58,"Where the mantra is ""oṃ yaṃ vāyuve namaḥ"", what is the direction of the guardian?"
59,What weapon is used by the guardian whose consort is śacī?
60,What are the directions for the guardian whose weapon is khaḍga (sword)?
61,What are the weapons used by guardians for the direction East?
62,What are the directions for the guardian whose graha (planet) is bṛhaspati (Jupiter)?
63,"What is the number of chapters listed for the fraternity with a headquarters in Austin, Texas?"
64,What are the members listed with the sorority classification
65,Name the member that has 12 chapters
66,Where is the headquarters of Alpha Nu Omega
